상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
121,"수진, 신흥",경기,44,108,2
87,사우,경기,44,107,2
316,사당,서울,64,86,2
300,"목동, 신정, 신정네거리",서울,47,101,2
120,수지구청,경기,51,96,2
62,망포,경기,36,110,3
351,압구정로데오,서울,89,56,2
106,성복,경기,35,109,3
308,방학,서울,41,102,3
229,강동구청,서울,39,103,3
0,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기,21,121,3
255,구파발,서울,56,85,2
10,고잔,경기,29,112,3
66,"모란, 태평",경기,48,93,3
206,평내호평,경기,51,88,3
110,소사,경기,34,104,3
134,안산,경기,21,116,3
384,중랑,서울,37,100,3
315,사가정,서울,37,99,3
180,정부과천청사,경기,44,91,3
172,일산,경기,43,91,3
259,금천구청,서울,37,97,3
216,한대앞,경기,47,86,3
405,효창공원앞,서울,31,101,3
73,백석,경기,53,78,3
247,광운대,서울,47,84,3
257,군자,서울,38,93,3
347,아차산,서울,30,100,3
363,오류동,서울,36,94,3
183,주엽,경기,55,75,3
289,"디지털미디어시티, 수색",서울,45,83,3
