상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
97,"노들, 흑석",서울,34.5,10.0,2
122,"용두, 제기동",서울,34.4,12.0,2
227,효창공원앞,서울,33.8,13.0,2
54,"금천구청, 독산",서울,32.4,11.0,2
46,"산본, 수리산",경기,32.3,9.0,2
28,"구리, 다산, 도농, 동구릉, 장자호수공원",경기,32.2,11.0,2
47,"군포, 당정",경기,32.1,12.0,2
185,까치산,서울,32.0,11.0,2
62,"도봉, 도봉산, 수락산",서울,31.2,12.0,2
136,"답십리, 마장, 신답, 왕십리, 용답, 한양대",서울,30.4,11.0,2
75,"가천대, 모란, 태평",경기,30.0,10.0,2
219,장한평,서울,29.2,11.0,2
93,"공항시장, 김포공항, 송정, 신방화",서울,28.8,9.0,2
60,"송산, 어룡, 탑석",경기,28.6,12.0,2
104,"마포구청, 월드컵경기장",서울,28.2,10.0,2
80,"월계, 중계, 하계",서울,28.0,9.0,2
69,"광명사거리, 철산",경기,27.6,10.0,2
67,"신내, 양원",서울,27.0,9.0,0
95,"녹사평, 이태원, 한강진",서울,26.5,9.0,2
66,"부천, 소사",경기,26.2,10.0,2
225,한남,서울,26.2,8.0,0
184,금호,서울,25.8,9.0,0
168,원당,경기,25.8,8.0,0
18,"마석, 천마산",경기,25.4,10.0,2
44,"곡산, 백석",경기,25.2,6.0,0
222,중화,서울,25.2,10.0,2
61,"의정부시청, 흥선",경기,24.5,8.0,0
188,녹번,서울,23.4,8.0,0
169,원종,경기,23.0,9.0,0
213,양천구청,서울,22.6,9.0,0
65,"역곡, 온수",경기,22.2,10.0,2
71,"오류동, 천왕",서울,21.8,9.0,0
157,별내별가람,경기,21.6,7.0,0
178,가좌,서울,21.6,7.0,0
56,"미사, 하남검단산, 하남시청, 하남풍산",경기,21.4,6.0,0
204,신대방,서울,21.2,8.0,0
170,원흥,경기,21.2,7.0,0
27,"금릉, 금촌",경기,21.0,8.0,0
13,"평택, 평택지제",경기,20.4,5.0,0
29,"갈매, 별내, 퇴계원",경기,20.4,7.0,0
16,"서정리, 송탄, 진위",경기,20.3,6.0,0
42,"일산, 탄현",경기,20.2,8.0,0
162,소새울,경기,20.0,7.0,0
153,남위례,경기,20.0,7.0,0
59,"망월사, 장암",경기,19.8,7.0,0
203,신금호,서울,19.6,6.0,0
154,녹양,경기,19.0,7.0,0
78,"4.19민주묘지, 가오리, 미아, 북한산보국문, 북한산우이, 삼양, 삼양사거리, 솔밭공원, 솔샘, 수유, 화계",서울,19.0,7.0,0
25,"달월, 월곶",경기,18.8,7.0,0
52,"강남대, 구성, 기흥, 동백, 신갈, 어정, 지석, 초당",경기,18.4,6.0,0
175,풍산,경기,17.4,5.0,0
41,"대화, 주엽",경기,16.8,5.0,0
20,"운양, 장기",경기,15.8,6.0,0
151,고촌,경기,15.8,6.0,0
215,옥수,서울,15.4,4.0,0
144,"보문, 창신",서울,14.8,5.0,0
51,"보정, 수지구청, 죽전",경기,14.4,4.0,0
156,백마,경기,14.4,5.0,0
223,청계산입구,서울,14.4,4.0,0
171,의왕,경기,13.1,5.0,0
212,양재시민의숲,서울,13.0,5.0,0
195,불암산,서울,12.6,5.0,0
172,전대·에버랜드,경기,12.4,4.0,0
36,"광교, 광교중앙, 상현",경기,11.4,4.0,0
68,"독립문, 무악재, 홍제",서울,11.4,4.0,0
26,"덕소, 도심, 양정",경기,10.8,4.0,0
218,일원,서울,10.0,2.0,0
