역명,지역명,상권_ID,클러스터
대전,대전,8830e36ae9fffff,0
유성온천,대전,8830e379dbfffff,0
정부청사,대전,8830e378bdfffff,0
현충원,대전,8830e37831fffff,0
갑천,대전,8830e378adfffff,0
구암,대전,8830e37833fffff,0
시청,대전,8830e378b7fffff,0
지족,대전,8830e37857fffff,0
월드컵경기장,대전,8830e37839fffff,1
"갈마, 월평",대전,8830e378abfffff,0
반석,대전,8830e37859fffff,3
서부산유통지구,부산,8830c178b3fffff,2
송정,부산,8830c16edbfffff,1
신해운대,부산,8830c16ecbfffff,0
장산,부산,8830c16ec7fffff,0
망미,부산,8830c16e6bfffff,2
중동,부산,8830c16eebfffff,0
배산,부산,8830c16e69fffff,2
센텀,부산,8830c16e55fffff,0
동백,부산,8830c16e3bfffff,0
광안,부산,8830c16e29fffff,2
금련산,부산,8830c16e25fffff,2
수영,부산,8830c16e0dfffff,2
"벡스코, 센텀시티",부산,8830c16e03fffff,0
재송,부산,8830c16e5dfffff,2
해운대,부산,8830c16eedfffff,0
지게골,부산,8830c16f09fffff,0
"대연, 못골",부산,8830c16f0bfffff,0
남천,부산,8830c16f19fffff,2
경성대·부경대,부산,8830c16f1dfffff,0
국제금융센터·부산은행,부산,8830c16f41fffff,0
문현,부산,8830c16f47fffff,0
범내골,부산,8830c16f49fffff,0
민락,부산,8830c16e01fffff,2
부암,부산,8830c161a1fffff,2
연산,부산,8830c16199fffff,0
부산진,부산,8830c16f6dfffff,2
시청,부산,8830c1619dfffff,0
노포,부산,8830c175e7fffff,3
덕두,부산,8830c17891fffff,0
공항,부산,8830c178bbfffff,0
범일,부산,8830c16f4dfffff,0
부산,부산,8830c16ab7fffff,0
"냉정, 주례",부산,8830c16acbfffff,0
기장,부산,8830c16403fffff,2
대사,부산,8830c1636dfffff,1
평강,부산,8830c16361fffff,2
강서구청,부산,8830c16339fffff,2
구포,부산,8830c16333fffff,2
등구,부산,8830c16327fffff,1
수정,부산,8830c16313fffff,2
"대저, 체육공원",부산,8830c16305fffff,2
남산,부산,8830c162d7fffff,0
범어사,부산,8830c162d3fffff,2
구서,부산,8830c162b9fffff,0
장전,부산,8830c162b5fffff,2
두실,부산,8830c1629dfffff,2
금곡,부산,8830c16255fffff,0
율리,부산,8830c1622bfffff,2
동원,부산,8830c16201fffff,3
사직,부산,8830c161d9fffff,0
거제해맞이,부산,8830c161d7fffff,2
거제,부산,8830c161d3fffff,0
종합운동장,부산,8830c161d1fffff,0
전포,부산,8830c161b5fffff,0
안평,부산,8830c16465fffff,2
좌천,부산,8830c16541fffff,2
영산대,부산,8830c16549fffff,2
오시리아,부산,8830c165e7fffff,3
초량,부산,8830c16ab3fffff,0
서대신,부산,8830c16aa7fffff,0
다대포해수욕장,부산,8830c169edfffff,2
다대포항,부산,8830c169e9fffff,0
낫개,부산,8830c169c1fffff,2
동대신,부산,8830c168c9fffff,0
자갈치,부산,8830c168c7fffff,0
토성,부산,8830c168c5fffff,0
중앙,부산,8830c168c3fffff,0
남포,부산,8830c16889fffff,3
동의대,부산,8830c16adbfffff,0
신평,부산,8830c1686bfffff,2
장림,부산,8830c1682bfffff,0
신장림,부산,8830c16823fffff,2
괴정,부산,8830c1681dfffff,0
대티,부산,8830c16819fffff,0
사하,부산,8830c1680bfffff,2
당리,부산,8830c16809fffff,2
동매,부산,8830c16805fffff,2
윗반송,부산,8830c16735fffff,2
고촌,부산,8830c16731fffff,2
일광,부산,8830c166adfffff,2
하단,부산,8830c16843fffff,3
개금,부산,8830c16addfffff,0
양정,부산,8830c16183fffff,2
부전,부산,8830c16187fffff,0
미남,부산,8830c160edfffff,0
명륜,부산,8830c160ebfffff,2
"동래, 수안",부산,8830c160e7fffff,0
부산대,부산,8830c160cbfffff,0
온천장,부산,8830c160c7fffff,0
부산원동,부산,8830c160b5fffff,2
물만골,부산,8830c16191fffff,2
충렬사,부산,8830c160abfffff,2
낙민,부산,8830c160a9fffff,2
안락,부산,8830c160a3fffff,2
금사,부산,8830c1609dfffff,2
석대,부산,8830c16093fffff,1
반여농산물시장,부산,8830c16091fffff,3
명장,부산,8830c16087fffff,2
서동,부산,8830c16083fffff,2
덕천,부산,8830c1606dfffff,0
숙등,부산,8830c16061fffff,0
화명,부산,8830c16049fffff,0
남산정,부산,8830c1600dfffff,2
만덕,부산,8830c16001fffff,0
월내,부산,8830c129c7fffff,2
덕포,부산,8830c1610dfffff,2
사상,부산,8830c16121fffff,0
교대,부산,8830c160adfffff,0
서면,부산,8830c161a3fffff,0
구명,부산,8830c16159fffff,0
모덕,부산,8830c16147fffff,2
모라,부산,8830c16143fffff,2
괘법르네시떼,부산,8830c16129fffff,0
구남,부산,8830c1615dfffff,0
감전,부산,8830c16127fffff,2
가야,부산,8830c161adfffff,2
구파발,서울,8830e1d163fffff,0
독바위,서울,8830e1d127fffff,2
솔밭공원,서울,8830e1d193fffff,0
잠실새내,서울,8830e1ca87fffff,0
수락산,서울,8830e1d52dfffff,2
잠실나루,서울,8830e1ca91fffff,0
잠실,서울,8830e1ca95fffff,0
대청,서울,8830e1caa5fffff,2
고속터미널,서울,8830e1ca6dfffff,3
잠원,서울,8830e1ca6bfffff,3
사평,서울,8830e1ca63fffff,3
반포,서울,8830e1ca61fffff,3
압구정,서울,8830e1ca55fffff,0
한남,서울,8830e1ca49fffff,0
신사,서울,8830e1ca47fffff,0
역삼,서울,8830e1ca3dfffff,0
선릉,서울,8830e1ca3bfffff,0
한티,서울,8830e1ca37fffff,0
강남,서울,8830e1ca2bfffff,0
양재,서울,8830e1ca27fffff,0
강남구청,서울,8830e1ca1dfffff,0
압구정로데오,서울,8830e1ca19fffff,3
삼성중앙,서울,8830e1ca17fffff,3
선정릉,서울,8830e1ca15fffff,0
삼전,서울,8830e1caabfffff,0
석촌,서울,8830e1cab3fffff,0
둔촌오륜,서울,8830e1cf01fffff,3
자양,서울,8830e1cac1fffff,0
굽은다리,서울,8830e1cf5bfffff,0
길동,서울,8830e1cf51fffff,0
천호,서울,8830e1cf4bfffff,0
마천,서울,8830e1cd49fffff,2
상일동,서울,8830e1ce07fffff,0
고덕,서울,8830e1ce29fffff,0
남태령,서울,8830e1cb6bfffff,3
강일,서울,8830e1ce39fffff,3
명일,서울,8830e1ce65fffff,0
암사역사공원,서울,8830e1ce6dfffff,2
거여,서울,8830e1cf27fffff,0
개롱,서울,8830e1cf21fffff,0
중앙보훈병원,서울,8830e1cf1dfffff,2
올림픽공원,서울,8830e1cf0dfffff,2
강동구청,서울,8830e1cf41fffff,0
둔촌동,서울,8830e1cf09fffff,2
교대,서울,8830e1cb5bfffff,0
남부터미널,서울,8830e1cb53fffff,0
구의,서울,8830e1cad1fffff,0
강변,서울,8830e1cad3fffff,3
삼성,서울,8830e1cae1fffff,3
종합운동장,서울,8830e1cae3fffff,3
봉은사,서울,8830e1cae9fffff,3
송파나루,서울,8830e1cf6dfffff,0
서초,서울,8830e1cb59fffff,0
"몽촌토성, 한성백제",서울,8830e1cf69fffff,0
총신대입구,서울,8830e1cb49fffff,0
"방이, 오금",서울,8830e1cf67fffff,2
강동,서울,8830e1cf5dfffff,0
내방,서울,8830e1cb4bfffff,0
도봉산,서울,8830e1d561fffff,0
사당,서울,8830e1cb4dfffff,0
방배,서울,8830e1cb43fffff,0
석촌고분,서울,8830e1cabdfffff,0
디지털미디어시티,서울,8830e1da2dfffff,0
신촌,서울,8830e1d801fffff,0
서빙고,서울,8830e1d99dfffff,1
흑석,서울,8830e1d98dfffff,0
동작,서울,8830e1d987fffff,1
대림,서울,8830e1d965fffff,2
신풍,서울,8830e1d963fffff,0
여의도,서울,8830e1d957fffff,3
신길,서울,8830e1d955fffff,0
국회의사당,서울,8830e1d951fffff,0
문래,서울,8830e1d94dfffff,0
남성,서울,8830e1d9a5fffff,2
영등포시장,서울,8830e1d94bfffff,2
영등포,서울,8830e1d947fffff,0
장승배기,서울,8830e1d93bfffff,0
신대방삼거리,서울,8830e1d939fffff,0
"보라매공원, 보라매병원",서울,8830e1d92bfffff,0
당곡,서울,8830e1d923fffff,0
신대방,서울,8830e1d921fffff,2
샛강,서울,8830e1d91dfffff,0
노량진,서울,8830e1d911fffff,0
대방,서울,8830e1d90bfffff,0
영등포구청,서울,8830e1d949fffff,0
구반포,서울,8830e1d9b9fffff,3
신반포,서울,8830e1d9bbfffff,3
노들,서울,8830e1d9c5fffff,0
구산,서울,8830e1da57fffff,2
수색,서울,8830e1da67fffff,0
독립문,서울,8830e1daa5fffff,0
무악재,서울,8830e1daadfffff,2
홍제,서울,8830e1dae5fffff,0
녹번,서울,8830e1dae9fffff,0
신목동,서울,8830e1db05fffff,0
망원,서울,8830e1db17fffff,0
마포구청,서울,8830e1db19fffff,0
양평,서울,8830e1db27fffff,2
당산,서울,8830e1db35fffff,0
증산,서울,8830e1da2bfffff,2
역촌,서울,8830e1da1dfffff,0
불광,서울,8830e1da1bfffff,0
새절,서울,8830e1da07fffff,2
응암,서울,8830e1da03fffff,0
상도,서울,8830e1d9edfffff,0
숭실대입구,서울,8830e1d9e5fffff,0
"신용산, 용산",서울,8830e1d9ddfffff,0
삼각지,서울,8830e1d9d9fffff,2
이촌,서울,8830e1d9d5fffff,3
보라매,서울,8830e1d907fffff,2
서울지방병무청,서울,8830e1d901fffff,0
회현,서울,8830e1d8ebfffff,3
서울역,서울,8830e1d8e9fffff,0
청구,서울,8830e1d895fffff,0
신당,서울,8830e1d891fffff,2
