상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
268,압구정로데오,서울,62.4,15.0,0
18,광명,경기,61.2,18.0,0
236,노량진,서울,61.1,19.0,0
178,철산,경기,59.8,18.0,0
228,길음,서울,58.2,18.0,0
36,다산,경기,57.6,20.0,0
137,영통,경기,56.7,17.0,0
96,선부,경기,56.6,17.0,0
21,"구리, 동구릉",경기,56.6,18.0,0
190,평촌,경기,56.0,19.0,0
20,구래,경기,55.8,18.0,0
120,신천,경기,54.6,18.0,0
224,구파발,서울,52.0,15.0,0
52,"동천, 오리",경기,52.0,17.0,0
264,쌍문,서울,51.4,17.0,0
286,청량리,서울,51.4,17.0,0
256,사당,서울,50.8,15.0,0
283,창동,서울,49.8,17.0,0
